word1;word2;count1;count2;count_bigr
система;google;551;3436;95
google;chrome;3436;275;201
google;inc;3436;300;35
компания;google;1359;3436;292
браузер;google;179;3436;37
сайт;google;452;3436;36
сервис;google;441;3436;80
год;google;580;3436;110
google;earth;3436;97;74
google;code;3436;78;42
google;talk;3436;68;60
google;maps;3436;160;120
карта;google;125;3436;83
проект;google;526;3436;32
google;android;3436;630;84
google;объявить;3436;37;32
поиск;google;192;3436;34
корпорация;google;96;3436;37
google;play;3436;141;117
приложение;google;280;3436;31
google;io;3436;40;31
google;wave;3436;51;35
